Car Name,Aspect Ratio,Car/ Bike,Hatchback/ Sedan,Small/ Large
Chevrolet Beat Diesel,NA,Car,Non Luxury Small,Small
Chevrolet Beat Petrol,NA,Car,Non Luxury Small,Small
Chevrolet Captiva Diesel,NA,Car,SUV,Extra Large
Chevrolet Cruze Diesel,NA,Car,Luxury,Large
Chevrolet Sail Diesel,NA,Car,Luxury,Medium
Chevrolet Sail Hatchback Diesel,NA,Car,Non Luxury Small,Medium
Chevrolet Sail Hatchback Petrol,NA,Car,Non Luxury Small,Medium
Chevrolet Sail Petrol,NA,Car,Luxury,Medium
Chevrolet Spark Petrol,NA,Car,Non Luxury Small,Small
Datsun Go Petrol,NA,Car,Non Luxury Small,Small
Datsun Go Plus Petrol,NA,Car,Luxury,Medium
Fiat Avventura Diesel,NA,Car,Non Luxury Small,Medium
Fiat Avventura Petrol,NA,Car,Non Luxury Small,Medium
Fiat Linea Classic Diesel,NA,Car,Luxury,Medium
Fiat Linea Classic Petrol,NA,Car,Luxury,Medium
Fiat Linea Diesel,NA,Car,Luxury,Medium
Fiat Linea Petrol,NA,Car,Luxury,Medium
Fiat Palio Diesel,NA,Car,Non Luxury Small,Medium
Fiat Palio Petrol,NA,Car,Non Luxury Small,Medium
Fiat Punto Diesel,NA,Car,Non Luxury Small,Medium
Fiat Punto Petrol,NA,Car,Non Luxury Small,Medium
Ford Classic Diesel,NA,Car,Luxury,Medium
Ford Classic Petrol,NA,Car,Luxury,Medium
Ford Ecosport Diesel,NA,Car,Luxury,Medium
Ford Ecosport Petrol,NA,Car,Luxury,Medium
Ford Endeavour Diesel New,NA,Car,SUV,Extra Large
Ford Endeavour Diesel Old,NA,Car,SUV,Extra Large
Ford Fiesta Diesel,NA,Car,Luxury,Medium
Ford Fiesta Petrol,NA,Car,Luxury,Medium
Ford Figo Aspire Diesel,NA,Car,Luxury,Medium
Ford Figo Aspire Petrol,NA,Car,Luxury,Medium
Ford Figo Diesel New,NA,Car,Non Luxury Small,Medium
Ford Figo Diesel Old,NA,Car,Non Luxury Small,Medium
Ford Figo Petrol New,NA,Car,Non Luxury Small,Medium
