make,model,year,fuel_type,full_veh_name,aspect_ratio,size,car_bike,engine_oil,active
Bajaj ,Blade,New,Petrol,Bajaj Blade,NA,Hatchback,Bike,NA,1
Bajaj ,Kristal,New,Petrol,Bajaj Kristal,NA,Hatchback,Bike,NA,1
Bajaj ,Boxer,New,Petrol,Bajaj Boxer,NA,Hatchback,Bike,NA,1
Bajaj ,Caliber,New,Petrol,Bajaj Caliber,NA,Hatchback,Bike,NA,1
Bajaj ,Aspire,New,Petrol,Bajaj Aspire,NA,Hatchback,Bike,NA,1
Bajaj ,BYK,New,Petrol,Bajaj BYK,NA,Hatchback,Bike,NA,1
Bajaj ,CT 100,New,Petrol,Bajaj CT 100,NA,Hatchback,Bike,NA,1
Bajaj ,KB 125,New,Petrol,Bajaj KB 125,NA,Hatchback,Bike,NA,1
Bajaj ,Platina,New,Petrol,Bajaj Platina,NA,Hatchback,Bike,NA,1
Bajaj ,Platina 100,New,Petrol,Bajaj Platina 100,NA,Hatchback,Bike,NA,1
Bajaj ,Platina 100 ES,New,Petrol,Bajaj Platina 100 ES,NA,Hatchback,Bike,NA,1
Bajaj ,Sonic,New,Petrol,Bajaj Sonic,NA,Hatchback,Bike,NA,1
Bajaj ,Wind,New,Petrol,Bajaj Wind,NA,Hatchback,Bike,NA,1
Bajaj ,Eliminator,New,Petrol,Bajaj Eliminator,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 135LS,New,Petrol,Bajaj Pulsar 135LS,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 150,New,Petrol,Bajaj Pulsar 150,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 150 AS,New,Petrol,Bajaj Pulsar 150 AS,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 100M,New,Petrol,Bajaj Discover 100M,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 100T,New,Petrol,Bajaj Discover 100T,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 125,New,Petrol,Bajaj Discover 125,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 125ST,New,Petrol,Bajaj Discover 125ST,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 125T,New,Petrol,Bajaj Discover 125T,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 135,New,Petrol,Bajaj Discover 135,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 150,New,Petrol,Bajaj Discover 150,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 150F,New,Petrol,Bajaj Discover 150F,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 150S,New,Petrol,Bajaj Discover 150S,NA,Hatchback,Bike,NA,1
Bajaj ,Discover 125M,New,Petrol,Bajaj Discover 125M,NA,Hatchback,Bike,NA,1
Bajaj ,Platina 125,New,Petrol,Bajaj Platina 125,NA,Hatchback,Bike,NA,1
Bajaj ,XCD,New,Petrol,Bajaj XCD,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 200 AS,New,Petrol,Bajaj Pulsar 200 AS,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 200 RS,New,Petrol,Bajaj Pulsar 200 RS,NA,Hatchback,Bike,NA,1
Bajaj ,Vikranta,New,Petrol,Bajaj Vikranta,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 220,New,Petrol,Bajaj Pulsar 220,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 200 NS,New,Petrol,Bajaj Pulsar 200 NS,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 400 CS,New,Petrol,Bajaj Pulsar 400 CS,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 400 SS,New,Petrol,Bajaj Pulsar 400 SS,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 200 SS,New,Petrol,Bajaj Pulsar 200 SS,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 180,New,Petrol,Bajaj Pulsar 180,NA,Hatchback,Bike,NA,1
Bajaj ,Avenger 220,New,Petrol,Bajaj Avenger 220,NA,Hatchback,Bike,NA,1
Bajaj ,Avenger 180,New,Petrol,Bajaj Avenger 180,NA,Hatchback,Bike,NA,1
Bajaj ,Avenger 200,New,Petrol,Bajaj Avenger 200,NA,Hatchback,Bike,NA,1
Bajaj ,Pulsar 200,New,Petrol,Bajaj Pulsar 200,NA,Hatchback,Bike,NA,1
Hero ,Achiever,New,Petrol,Hero Achiever,NA,Hatchback,Bike,NA,1
Hero ,Ambition,New,Petrol,Hero Ambition,NA,Hatchback,Bike,NA,1
Hero ,CD 100,New,Petrol,Hero CD 100,NA,Hatchback,Bike,NA,1
Hero ,CD Dawn,New,Petrol,Hero CD Dawn,NA,Hatchback,Bike,NA,1
Hero ,CD Deluxe,New,Petrol,Hero CD Deluxe,NA,Hatchback,Bike,NA,1
Hero ,Glamour,New,Petrol,Hero Glamour,NA,Hatchback,Bike,NA,1
Hero ,Glamour PGM Fi,New,Petrol,Hero Glamour PGM Fi,NA,Hatchback,Bike,NA,1
Hero ,HF Dawn,New,Petrol,Hero HF Dawn,NA,Hatchback,Bike,NA,1
Hero ,HF Deluxe,New,Petrol,Hero HF Deluxe,NA,Hatchback,Bike,NA,1
Hero ,HF Deluxe Eco,New,Petrol,Hero HF Deluxe Eco,NA,Hatchback,Bike,NA,1
Hero ,Ignitor,New,Petrol,Hero Ignitor,NA,Hatchback,Bike,NA,1
Hero ,iSmart,New,Petrol,Hero iSmart,NA,Hatchback,Bike,NA,1
Hero ,Maestro,New,Petrol,Hero Maestro,NA,Hatchback,Bike,NA,1
Hero ,Passion,New,Petrol,Hero Passion,NA,Hatchback,Bike,NA,1
Hero ,Passion Plus,New,Petrol,Hero Passion Plus,NA,Hatchback,Bike,NA,1
Hero ,Passion Pro,New,Petrol,Hero Passion Pro,NA,Hatchback,Bike,NA,1
Hero ,Passion Pro TR,New,Petrol,Hero Passion Pro TR,NA,Hatchback,Bike,NA,1
Hero ,Passion XPro,New,Petrol,Hero Passion XPro,NA,Hatchback,Bike,NA,1
Hero ,Pleasure,New,Petrol,Hero Pleasure,NA,Hatchback,Bike,NA,1
Hero ,Splendor iSmart,New,Petrol,Hero Splendor iSmart,NA,Hatchback,Bike,NA,1
Hero ,Splendor NXG,New,Petrol,Hero Splendor NXG,NA,Hatchback,Bike,NA,1
Hero ,Splendor Plus,New,Petrol,Hero Splendor Plus,NA,Hatchback,Bike,NA,1
Hero ,Splendor Pro,New,Petrol,Hero Splendor Pro,NA,Hatchback,Bike,NA,1
Hero ,Splendor Pro Classic,New,Petrol,Hero Splendor Pro Classic,NA,Hatchback,Bike,NA,1
Hero ,Super Splendor,New,Petrol,Hero Super Splendor,NA,Hatchback,Bike,NA,1
Hero ,Hunk,New,Petrol,Hero Hunk,NA,Hatchback,Bike,NA,1
Hero ,Impulse,New,Petrol,Hero Impulse,NA,Hatchback,Bike,NA,1
Hero ,CBZ Star,New,Petrol,Hero CBZ Star,NA,Hatchback,Bike,NA,1
Hero ,Hastur,New,Petrol,Hero Hastur,NA,Hatchback,Bike,NA,1
Hero ,Karizma,New,Petrol,Hero Karizma,NA,Hatchback,Bike,NA,1
Hero ,Karizma R,New,Petrol,Hero Karizma R,NA,Hatchback,Bike,NA,1
Hero ,Karizma ZMR,New,Petrol,Hero Karizma ZMR,NA,Hatchback,Bike,NA,1
Hero ,Xtreme,New,Petrol,Hero Xtreme,NA,Hatchback,Bike,NA,1
Hero ,Xtreme Sports,New,Petrol,Hero Xtreme Sports,NA,Hatchback,Bike,NA,1
Hero ,CBZ Xtreme,New,Petrol,Hero CBZ Xtreme,NA,Hatchback,Bike,NA,1
Honda ,Activa,New,Petrol,Honda Activa,NA,Hatchback,Bike,NA,1
Honda ,Activa 125,New,Petrol,Honda Activa 125,NA,Hatchback,Bike,NA,1
Honda ,Activa 3G,New,Petrol,Honda Activa 3G,NA,Hatchback,Bike,NA,1
Honda ,Activa i,New,Petrol,Honda Activa i,NA,Hatchback,Bike,NA,1
Honda ,Dio,New,Petrol,Honda Dio,NA,Hatchback,Bike,NA,1
Honda ,Dio HET,New,Petrol,Honda Dio HET,NA,Hatchback,Bike,NA,1
Honda ,Livo,New,Petrol,Honda Livo,NA,Hatchback,Bike,NA,1
Honda ,Aviator 2009,New,Petrol,Honda Aviator 2009,NA,Hatchback,Bike,NA,1
Honda ,Aviator,New,Petrol,Honda Aviator,NA,Hatchback,Bike,NA,1
Honda ,Shine,New,Petrol,Honda Shine,NA,Hatchback,Bike,NA,1
Honda ,Trigger,New,Petrol,Honda Trigger,NA,Hatchback,Bike,NA,1
Honda ,CD 110 Dream,New,Petrol,Honda CD 110 Dream,NA,Hatchback,Bike,NA,1
Honda ,Dream Neo,New,Petrol,Honda Dream Neo,NA,Hatchback,Bike,NA,1
Honda ,Dream Yuga,New,Petrol,Honda Dream Yuga,NA,Hatchback,Bike,NA,1
Honda ,Shine HET,New,Petrol,Honda Shine HET,NA,Hatchback,Bike,NA,1
Honda ,Twister,New,Petrol,Honda Twister,NA,Hatchback,Bike,NA,1
Honda ,Unicorn,New,Petrol,Honda Unicorn,NA,Hatchback,Bike,NA,1
Honda ,Unicorn 160,New,Petrol,Honda Unicorn 160,NA,Hatchback,Bike,NA,1
Honda ,Unicorn Dazzler,New,Petrol,Honda Unicorn Dazzler,NA,Hatchback,Bike,NA,1
Honda ,Stunner CBF,New,Petrol,Honda Stunner CBF,NA,Hatchback,Bike,NA,1
Honda ,CBR150R,New,Petrol,Honda CBR150R,NA,Hatchback,Bike,NA,1
Honda ,CBR250R,New,Petrol,Honda CBR250R,NA,Hatchback,Bike,NA,1
KTM ,200Duke,New,Petrol,KTM 200Duke,NA,Hatchback,Bike,NA,1
KTM ,RC200,New,Petrol,KTM RC200,NA,Hatchback,Bike,NA,1
KTM ,390Duke,New,Petrol,KTM 390Duke,NA,Hatchback,Bike,NA,1
KTM ,RC390,New,Petrol,KTM RC390,NA,Hatchback,Bike,NA,1
Mahindra ,Duro,New,Petrol,Mahindra Duro,NA,Hatchback,Bike,NA,1
Mahindra ,Gusto,New,Petrol,Mahindra Gusto,NA,Hatchback,Bike,NA,1
Mahindra ,Rodeo,New,Petrol,Mahindra Rodeo,NA,Hatchback,Bike,NA,1
Mahindra ,Nova,New,Petrol,Mahindra Nova,NA,Hatchback,Bike,NA,1
Mahindra ,Centuro,New,Petrol,Mahindra Centuro,NA,Hatchback,Bike,NA,1
