Bajaj Blade,NA,Bike,Hatchback,NA
Bajaj Kristal,NA,Bike,Hatchback,NA
Bajaj Boxer,NA,Bike,Hatchback,NA
Bajaj Caliber,NA,Bike,Hatchback,NA
Bajaj Aspire,NA,Bike,Hatchback,NA
Bajaj BYK,NA,Bike,Hatchback,NA
Bajaj CT 100,NA,Bike,Hatchback,NA
Bajaj KB 125,NA,Bike,Hatchback,NA
Bajaj Platina,NA,Bike,Hatchback,NA
Bajaj Platina 100,NA,Bike,Hatchback,NA
Bajaj Platina 100 ES,NA,Bike,Hatchback,NA
Bajaj Sonic,NA,Bike,Hatchback,NA
Bajaj Wind,NA,Bike,Hatchback,NA
Bajaj Eliminator,NA,Bike,Hatchback,NA
Bajaj Pulsar 135LS,NA,Bike,Hatchback,NA
Bajaj Pulsar 150,NA,Bike,Hatchback,NA
Bajaj Pulsar 150 AS,NA,Bike,Hatchback,NA
Bajaj Discover 100M,NA,Bike,Hatchback,NA
Bajaj Discover 100T,NA,Bike,Hatchback,NA
Bajaj Discover 125,NA,Bike,Hatchback,NA
Bajaj Discover 125ST,NA,Bike,Hatchback,NA
Bajaj Discover 125T,NA,Bike,Hatchback,NA
Bajaj Discover 135,NA,Bike,Hatchback,NA
Bajaj Discover 150,NA,Bike,Hatchback,NA
Bajaj Discover 150F,NA,Bike,Hatchback,NA
Bajaj Discover 150S,NA,Bike,Hatchback,NA
Bajaj Discover 125M,NA,Bike,Hatchback,NA
Bajaj Platina 125,NA,Bike,Hatchback,NA
Bajaj XCD,NA,Bike,Hatchback,NA
Bajaj Pulsar 200 AS,NA,Bike,Hatchback,NA
Bajaj Pulsar 200 RS,NA,Bike,Hatchback,NA
Bajaj Vikranta,NA,Bike,Hatchback,NA
Bajaj Pulsar 220,NA,Bike,Hatchback,NA
Bajaj Pulsar 200 NS,NA,Bike,Hatchback,NA
Bajaj Pulsar 400 CS,NA,Bike,Hatchback,NA
Bajaj Pulsar 400 SS,NA,Bike,Hatchback,NA
Bajaj Pulsar 200 SS,NA,Bike,Hatchback,NA
Bajaj Pulsar 180,NA,Bike,Hatchback,NA
Bajaj Avenger 220,NA,Bike,Hatchback,NA
Bajaj Avenger 180,NA,Bike,Hatchback,NA
Bajaj Avenger 200,NA,Bike,Hatchback,NA
Bajaj Pulsar 200,NA,Bike,Hatchback,NA
Hero Achiever,NA,Bike,Hatchback,NA
Hero Ambition,NA,Bike,Hatchback,NA
Hero CD 100,NA,Bike,Hatchback,NA
Hero CD Dawn,NA,Bike,Hatchback,NA
Hero CD Deluxe,NA,Bike,Hatchback,NA
Hero Glamour,NA,Bike,Hatchback,NA
Hero Glamour PGM Fi,NA,Bike,Hatchback,NA
Hero HF Dawn,NA,Bike,Hatchback,NA
Hero HF Deluxe,NA,Bike,Hatchback,NA
Hero HF Deluxe Eco,NA,Bike,Hatchback,NA
Hero Ignitor,NA,Bike,Hatchback,NA
Hero iSmart,NA,Bike,Hatchback,NA
Hero Maestro,NA,Bike,Hatchback,NA
Hero Passion,NA,Bike,Hatchback,NA
Hero Passion Plus,NA,Bike,Hatchback,NA
Hero Passion Pro,NA,Bike,Hatchback,NA
Hero Passion Pro TR,NA,Bike,Hatchback,NA
Hero Passion XPro,NA,Bike,Hatchback,NA
Hero Pleasure,NA,Bike,Hatchback,NA
Hero Splendor iSmart,NA,Bike,Hatchback,NA
Hero Splendor NXG,NA,Bike,Hatchback,NA
Hero Splendor Plus,NA,Bike,Hatchback,NA
Hero Splendor Pro,NA,Bike,Hatchback,NA
Hero Splendor Pro Classic,NA,Bike,Hatchback,NA
Hero Super Splendor,NA,Bike,Hatchback,NA
Hero Hunk,NA,Bike,Hatchback,NA
Hero Impulse,NA,Bike,Hatchback,NA
Hero CBZ Star,NA,Bike,Hatchback,NA
Hero Hastur,NA,Bike,Hatchback,NA
Hero Karizma,NA,Bike,Hatchback,NA
Hero Karizma R,NA,Bike,Hatchback,NA
Hero Karizma ZMR,NA,Bike,Hatchback,NA
Hero Xtreme,NA,Bike,Hatchback,NA
Hero Xtreme Sports,NA,Bike,Hatchback,NA
Hero CBZ Xtreme,NA,Bike,Hatchback,NA
Honda Activa,NA,Bike,Hatchback,NA
Honda Activa 125,NA,Bike,Hatchback,NA
Honda Activa 3G,NA,Bike,Hatchback,NA
Honda Activa i,NA,Bike,Hatchback,NA
Honda Dio,NA,Bike,Hatchback,NA
Honda Dio HET,NA,Bike,Hatchback,NA
Honda Livo,NA,Bike,Hatchback,NA
Honda Aviator 2009,NA,Bike,Hatchback,NA
Honda Aviator,NA,Bike,Hatchback,NA
Honda Shine,NA,Bike,Hatchback,NA
